,QUEST_ID,cluster_k_8,cluster_k_21,cluster_k_8_name,cluster_k_21_name,CITY,QUEST,DESCRIPTION_SHORT,SMART_CATEGORIES,SORT_DEFAULT
0,9891,5,12,Прочее,Опасные эксперименты (иногда с выживанием и хоррором),Москва,Half-Life. Инцидент в Черной Мезе,Вам предстоит закрыть пространственный разлом между Землей и Зеном. Для этого необходимо вывести ракету на орбиту,"[
  ""Головоломки"",
  ""Инопланетяне"",
  ""Космос"",
  ""Монстры"",
  ""Наука/Ученые"",
  ""Научная фантастика"",
  ""Опасные/секретные эксперименты"",
  ""Современная лаборатория""
]",54549.0
1,9321,5,10,Прочее,Детектив и Шпионаж,Архангельск,Расследование ограбления банка,Вы – сотрудники спецслужб под прикрытием. Ваша цель – поймать компьютерного гения,"[
  ""Детектив или шпионаж"",
  ""Ограбление""
]",-84800.0
2,18160,0,2,Мистика,"Паранормальные явления с Мистикой, Заброшенными домами и Хоррором",Красноярск,Бугимен,"Несколько друзей собираются вместе, чтобы хорошо провести время в арендованном на окраине города доме...","[
  ""Кошмары"",
  ""Культовые персонажи и крипипаста"",
  ""Мистика"",
  ""Паранормальные явления"",
  ""Призраки"",
  ""Проклятые или заброшенные дома"",
  ""Триллер""
]",55003.0
3,22535,0,8,Мистика,Игры по фильмам (чистые),Калининград,Астрал,"Ваша задача: перенестись в астрал, разыскать там Нэнси и не погибнуть самим","[
  ""Игры по фильмам"",
  ""Мистика""
]",-884792.0
4,20927,3,8,Игры по фильмам,Игры по фильмам (чистые),Пенза,Psycho Split,"Вы – агенты под прикрытием, которые должны попасть к преступнику в дом и выяснить, есть ли там заложники","[
  ""Игры по фильмам""
]",9605.0
5,18426,3,4,Игры по фильмам,Приключения,Иркутск,Джуманджи,"Командам будут выпадать непростые задания, решить которые можно только совместно","[
  ""Игры по фильмам"",
  ""Приключения""
]",-884800.0
6,19234,7,14,Виртуальная реальность,Фентези (чистое),Псков,Elven Assassin,"В роли эльфийского лучника вам необходимо защитить замок, который хотят захватить орки и гоблины","[
  ""Виртуальная реальность"",
  ""Фэнтези""
]",-884800.0
7,14828,2,3,Хоррор,Хоррор (чистый),Коломна,Дожить до рассвета,"Вам предстоит переночевать в старом доме, потому что другого ночлега не предвидится","[
  ""Хоррор""
]",15708.0
8,16641,6,5,Исторические,Исторические,Кострома,Льняная столица из пьесы Островского,Отправьтесь в пешеходное приключение по Костроме и откройте все секреты древнего города,"[
  ""Исторические""
]",-884800.0
9,22208,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Майкоп,Cubes,"Вот он – прекрасный свободный мир, созданный из кубиков. Неужели кто-то решится покуситься на эту идиллию?","[
  ""Виртуальная реальность""
]",-884800.0
10,20817,2,3,Хоррор,Хоррор (чистый),Иркутск,Игра на выживание. Цирк,"Вы с друзьями собрались на представление, которое начинается прямо сейчас","[
  ""Маньяки"",
  ""Хоррор""
]",-84544.0
11,5762,0,17,Мистика,Хоррор Триллер Выживание,Новокузнецк,Не дыши,Твой кошмар идет за тобой. Испытай себя! И помни – не дыши!,"[
  ""Выживание"",
  ""Мистика"",
  ""Проклятые или заброшенные дома"",
  ""Триллер"",
  ""Хоррор""
]",54585.0
12,18256,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Уфа,Pavlov,"Мультиплеерный шутер, созданный для виртуальной реальности и выполненный в стиле знаменитой игры Counter-Strike","[
  ""Виртуальная реальность""
]",52813.0
13,9903,2,17,Хоррор,Хоррор Триллер Выживание,Тюмень,Пила. Игра на выживание,"Сейчас, когда ты очнулся в непонятной комнате в компании таких же, как ты, пришло время вспомнить, что в своей жизни вы делали не так...","[
  ""Бар"",
  ""Выживание"",
  ""Игры по фильмам"",
  ""Паранормальные явления"",
  ""Проклятые или заброшенные дома"",
  ""Триллер"",
  ""Хоррор""
]",46812.0
14,19536,5,10,Прочее,Детектив и Шпионаж,Уфа,По следам собаки Баскервилей,Вам предстоит найти собаку Баскервилей,"[
  ""Детектив или шпионаж""
]",-884800.0
15,13699,3,8,Игры по фильмам,Игры по фильмам (чистые),Воронеж,Спасение R2D2,"Команде отважных бойцов предстоит сразиться в трех испытаниях, чтобы получить все ключи от ледяного куба и освободить робота!","[
  ""Игры по фильмам"",
  ""Научная фантастика""
]",46789.0
16,17769,7,14,Виртуальная реальность,Фентези (чистое),Краснодар,Elven Assassin,"Вы в роли эльфийского лучника. Необходимо защитить замок, который хотят захватить орки и гоблины!","[
  ""Виртуальная реальность"",
  ""Фэнтези""
]",-884800.0
17,18328,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Ижевск,Zero Caliber,"Это военно-тактический кооперативный симулятор современных боевых действий, который подходит для любителей серии игр Call of Duty","[
  ""Виртуальная реальность""
]",-884800.0
18,10231,5,15,Прочее,Ограбление,Великий Новгород,Ограбление банка,Успейте обчистить хранилище до приезда полиции!,"[
  ""Ограбление""
]",-84423.0
19,7589,1,11,Научная Фантастика,Научная фантастика (чистая),Архангельск,Неизвестная планета,"Вам предстоит выяснить правду о себе и других, раскрыть тайны планеты, выбрать, кто останется здесь навсегда, а кто вернется, решить, кому доверить корабль и свое спасение","[
  ""Научная фантастика""
]",-884800.0
20,11522,5,19,Прочее,Приключения Головоломки,Новосибирск,Инопланетный корабль,Вы находитесь на космическом корабле. За час вам предстоит решить множество задач и головоломок,"[
  ""Выживание"",
  ""Головоломки"",
  ""Космос"",
  ""Научная фантастика"",
  ""Приключения""
]",55008.0
21,21753,3,4,Игры по фильмам,Приключения,Самара,Джуманджи,Ребятам предстоит собрать все утерянные амулеты и не растратить свои три жизни,"[
  ""Игры по фильмам"",
  ""Приключения""
]",-884800.0
22,12002,1,1,Научная Фантастика,Научная фантастика с Виртуальной Реальностью,Тюмень,Гравитация. Патруль времени,"Спасите человечество, раздобыв секретные файлы корпорации...","[
  ""Виртуальная реальность"",
  ""Научная фантастика""
]",-84800.0
23,22980,0,12,Мистика,Опасные эксперименты (иногда с выживанием и хоррором),Воронеж,Мистический отель. Во власти сна,"Как проснуться, если не знаешь: спишь ты или нет?","[
  ""Мистика"",
  ""Наука/Ученые"",
  ""Научная фантастика"",
  ""Опасные/секретные эксперименты"",
  ""Расследования"",
  ""Современная лаборатория""
]",49501.0
24,13172,2,3,Хоррор,Хоррор (чистый),Чита,Прятки. Все любят клоунов,Окажитесь в заброшенном и необитаемом цирке «Луппервиль». Или обитаемом?,"[
  ""Хоррор""
]",-84750.0
25,22784,2,17,Хоррор,Хоррор Триллер Выживание,Челябинск,Прятки в ночи,"Игра в вездесущей темноте, полной ловушек и сюрпризов","[
  ""Кошмары"",
  ""Лабиринты"",
  ""Прятки"",
  ""Хоррор""
]",55128.0
26,21427,1,1,Научная Фантастика,Научная фантастика с Виртуальной Реальностью,Уфа,Among Us,"Командная работа и предательство в космосе! В этой игре члены экипажа работают вместе, чтобы выполнить задания, прежде чем один или несколько самозванцев убьют всех на борту","[
  ""Виртуальная реальность"",
  ""Научная фантастика""
]",-884800.0
27,18698,1,11,Научная Фантастика,Научная фантастика (чистая),Ульяновск,Among Us,Детям необходимо выполнить главную миссию – спасение пропавшего экипажа корабля «Фортуна»,"[
  ""Научная фантастика""
]",-884800.0
28,19743,3,8,Игры по фильмам,Игры по фильмам (чистые),Серпухов,Игра в кальмара,Не хотите ли сыграть в игру?,"[
  ""Игры по фильмам""
]",-884800.0
29,18260,7,14,Виртуальная реальность,Фентези (чистое),Уфа,Elven Assassin,"Вы в роли эльфийского лучника. Необходимо защитить замок, который хотят захватить орки и гоблины","[
  ""Виртуальная реальность"",
  ""Фэнтези""
]",52133.0
30,14736,2,9,Хоррор,"Зомби (часто с постапокалиптическим миром, иногда с хоррором и VR)",Омск,Эпидемия,Число погибших все растет... На Землю неожиданно обрушился мутировавший вирус оспы,"[
  ""Вирусы"",
  ""Головоломки"",
  ""Зомби"",
  ""Постапокалиптический мир"",
  ""Современная лаборатория"",
  ""Спасение мира"",
  ""Хоррор""
]",54839.0
31,16660,3,8,Игры по фильмам,Игры по фильмам (чистые),Санкт-Петербург,Черепашки-ниндзя,Ребята окажутся в школе ниндзя и пройдут подготовку как настоящие супергерои,"[
  ""Игры по фильмам"",
  ""Научная фантастика""
]",-884800.0
32,21755,3,8,Игры по фильмам,Игры по фильмам (чистые),Самара,Голодные игры,Добро пожаловать на 76-е голодные игры!,"[
  ""Игры по фильмам""
]",-884800.0
33,6097,0,17,Мистика,Хоррор Триллер Выживание,Новосибирск,Дракула,Окунитесь в мистическое приключение! Граф Дракула вас с нетерпением ждал,"[
  ""Вампиры"",
  ""Выживание"",
  ""Мистика"",
  ""Фэнтези"",
  ""Хоррор""
]",53306.0
34,8087,5,19,Прочее,Приключения Головоломки,Тюмень,Миньоны,Злые фиолетовые миньоны решили захватить Землю и превратить ее в свою империю,"[
  ""Игры по мультфильмам"",
  ""Игры по фильмам"",
  ""Криминал"",
  ""Монстры"",
  ""Научная фантастика"",
  ""Приключения"",
  ""Сатира/Комедия"",
  ""Спасение мира"",
  ""Фэнтези""
]",-984044.0
35,16337,2,3,Хоррор,Хоррор (чистый),Чита,Момо: наследие убийств,"Присоединяйтесь к нам, если осмелитесь, и помните: Момо всегда рядом...","[
  ""Маньяки"",
  ""Хоррор""
]",-84796.0
36,20585,1,1,Научная Фантастика,Научная фантастика с Виртуальной Реальностью,Новокузнецк,Dark Matter,Вам предстоит разобраться в исчезновении и решить длинную цепь головоломок. Разгадать эту тайну будет не так уж и легко,"[
  ""Виртуальная реальность"",
  ""Научная фантастика""
]",-84800.0
37,3439,5,4,Прочее,Приключения,Подольск,Юкатан,"Вы – команда археологов, которая пытается быстрее всех найти древнее захоронение главного жреца племени майя на полуострове Юкатан","[
  ""Приключения""
]",-84735.0
38,7734,4,10,Фентези,Детектив и Шпионаж,Москва,"Отель ""Сказки кончились""","Вас ждет герметичный детектив со снегопадом за окном. Все игроки – постояльцы отеля, в котором реальность и сказка смешались","[
  ""Детектив или шпионаж"",
  ""Фэнтези""
]",-884800.0
39,19917,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Астрахань,Арена виртуальной реальности,Вас ждет полное погружение в виртуальную реальность,"[
  ""Виртуальная реальность""
]",-884800.0
